"","ParamList.i.","case.code","pctCensor","nSamples","num.Detects","num.nonDetects","min.Detects","max.Detects","min.nonDetects","max.nonDetects","KM.mean","KM.mean.SE","KM.mean.95LCL","KM.mean.95UCL","KM.median","KM.SD","PetoPrentice.pvalue","PetoPrentice.chisq","PetoPrentice.df","ROS_correlation","PPCC_test","MLE.mean","MLE.mean.SE","MLE.mean.95LCL","MLE.mean.95UCL","MLE.median","MLE.SD"
"57","CPAH sediment  (ug/Kg)","A",6.1,82,77,5,1.07,1453000,1,220,104752.621189024,24744.5924369675,56254.1112004458,153251.131177603,3130,224071.814602983,1.37255775817247e-05,25.244502790091,3,0.957274609841531,"reject Ho",NA,NA,NA,NA,NA,NA
"58","CPAH water  (ug/L)","A",48.4,634,327,307,0.004,83.3,0.007,1.1,1.22328866233687,0.263130881220598,0.707561611924211,1.73901571274953,0.0439999999999969,6.62546629704828,7.92431236698483e-22,101.360420511206,3,0.986194482804495,"reject Ho",NA,NA,NA,NA,NA,NA
"59","Di-N-Octyl Phthalate sediment  (ug/Kg)","B",71.4,56,16,40,116,10000,1,1300,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.97374761056888,"do not reject Ho",647225.718354466,30498733320.8734,4952.79414816645,84578748.4736335,1.83542108450008,228231621634.589
"60","Di-N-Octyl Phthalate water  (ug/L)","C",88.8,632,71,561,0.018,3.19,0.018,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Diazinon sediment  (ug/Kg)","C",98.1,52,1,51,17,17,0.1,1100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Diazinon water  (ug/L)","C",99.1,644,6,638,0.026,0.53,0.005,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Dibenzo(a,h)anthracene sediment  (ug/Kg)","A",26.6,79,58,21,6.54,73000,0.1,530,6377.89595067305,1428.0158959896,3579.03622518273,9176.75567616336,190,12692.4829145727,8.23246353103269e-05,21.5140095749924,3,0.962173586189857,"reject Ho",NA,NA,NA,NA,NA,NA
"64","Dibenzo(a,h)anthracene water  (ug/L)","C",86.1,634,88,546,0.005,5.3,0.003,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Dibutyl phthalate sediment  (ug/Kg)","B",71.9,57,16,41,16,2070,1,1300,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96324265422969,"do not reject Ho",1536.64168967481,59233.8435715294,163.193745619097,14469.1064813109,5.28001695892198,447205.711929774
"66","Dibutyl phthalate water  (ug/L)","B",68.2,633,201,432,0.024,5.08,0.023,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.980422312301145,"reject Ho",0.189753960479463,0.0105432831103191,0.171586437078399,0.209845056117052,0.11040006638507,0.265263639168972
"67","Dichlobenil sediment  (ug/Kg)","B",60,15,6,9,17,100,0.1,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.972871075656439,"do not reject Ho",NA,NA,NA,NA,NA,NA
"68","Dichlobenil water  (ug/L)","B",64.2,611,219,392,0.012,1.3,0.007,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.989753489795799,"do not reject Ho",0.0584074581758979,0.00550382111370774,0.0502622871332192,0.0678725813158347,0.0230418639729762,0.136045729908681
"69","Diesel Fuel sediment  (ug/Kg)","A",0,22,22,0,430000,6700000,NA,NA,2440000,388338.117503927,1678871.27586822,3201128.72413178,2e+06,1821467.22648058,NA,NA,NA,0.985264444333509,"do not reject Ho",NA,NA,NA,NA,NA,NA
"70","Diesel Fuel water  (ug/L)","B",53.2,77,36,41,100,4900,100,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.985248627508177,"do not reject Ho",328.902129687444,116.34968032303,198.383217663737,545.291139980891,100.851327739027,1020.96430131904
"71","Diesel Range Organics sediment  (ug/Kg)","A",25,12,9,3,27000,510000,50000,5e+05,140617.283950617,40577.0560831668,61087.7154289484,220146.852472286,120000,140563.045515233,NA,NA,NA,0.99021794276263,"do not reject Ho",NA,NA,NA,NA,NA,NA
"72","Diesel Range Organics water  (ug/L)","A",42.5,487,280,207,13,4900,30,570,348.934739063962,24.3539724767524,301.201830129048,396.667647998877,130,537.445327469713,4.98988719395383e-14,65.0106076534831,3,0.975313256269777,"reject Ho",NA,NA,NA,NA,NA,NA
"73","Diethyl phthalate sediment  (ug/Kg)","C",94.6,56,3,53,81,123,1,1300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
