"","Var1","Var2","Freq","Var1.1","Var2.1","Freq.1","Var1.2","Var2.2","Freq.2"
"124","PCB-aroclor 1242 sediment  (ug/Kg)","FALSE",33,"PCB-aroclor 1242 sediment  (ug/Kg)","FALSE",33,"PCB-aroclor 1242 sediment  (ug/Kg)","FALSE",33
"125","PCB-aroclor 1242 water  (ug/L)","FALSE",27,"PCB-aroclor 1242 water  (ug/L)","FALSE",27,"PCB-aroclor 1242 water  (ug/L)","FALSE",27
"126","PCB-aroclor 1248 sediment  (ug/Kg)","FALSE",31,"PCB-aroclor 1248 sediment  (ug/Kg)","FALSE",31,"PCB-aroclor 1248 sediment  (ug/Kg)","FALSE",31
"127","PCB-aroclor 1248 water  (ug/L)","FALSE",26,"PCB-aroclor 1248 water  (ug/L)","FALSE",26,"PCB-aroclor 1248 water  (ug/L)","FALSE",26
"128","PCB-aroclor 1254 sediment  (ug/Kg)","FALSE",18,"PCB-aroclor 1254 sediment  (ug/Kg)","FALSE",18,"PCB-aroclor 1254 sediment  (ug/Kg)","FALSE",18
"129","PCB-aroclor 1254 water  (ug/L)","FALSE",13,"PCB-aroclor 1254 water  (ug/L)","FALSE",13,"PCB-aroclor 1254 water  (ug/L)","FALSE",13
"130","PCB-aroclor 1260 sediment  (ug/Kg)","FALSE",24,"PCB-aroclor 1260 sediment  (ug/Kg)","FALSE",24,"PCB-aroclor 1260 sediment  (ug/Kg)","FALSE",24
"131","PCB-aroclor 1260 water  (ug/L)","FALSE",20,"PCB-aroclor 1260 water  (ug/L)","FALSE",20,"PCB-aroclor 1260 water  (ug/L)","FALSE",20
"132","Pentachlorophenol sediment  (ug/Kg)","FALSE",58,"Pentachlorophenol sediment  (ug/Kg)","FALSE",58,"Pentachlorophenol sediment  (ug/Kg)","FALSE",58
"133","Pentachlorophenol water  (ug/L)","FALSE",473,"Pentachlorophenol water  (ug/L)","FALSE",473,"Pentachlorophenol water  (ug/L)","FALSE",441
