"","ParamList.i.","case.code","pctCensor","nSamples","num.Detects","num.nonDetects","min.Detects","max.Detects","min.nonDetects","max.nonDetects","KM.mean","KM.mean.SE","KM.mean.95LCL","KM.mean.95UCL","KM.25ile","KM.median","KM.75ile","KM.90ile","KM.SD","PetoPrentice.pvalue","PetoPrentice.chisq","PetoPrentice.df","ROS.mean","ROS.25ile","ROS.median","ROS.75ile","ROS.90ile","ROS.SD","ROS_correlation","PPCC_test","wilcoxon_pvalue"
"31","dry   Diazinon","C",99.2,122,1,121,1.51981362624e-05,1.51981362624e-05,8.6e-08,0.001517570807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","dry   Dibenzo(a,h)anthracene","B",79.2,125,26,99,4.7304e-07,0.00025159952528,2e-08,0.002338463641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34919170777349e-05,2.84622516260358e-07,3.90899068424465e-07,5.98836446509748e-07,2.97523145116001e-05,4.21877946411323e-05,0.959830369140543,NA,NA
"33","dry   Dibutyl phthalate","B",71.2,125,36,89,9.4e-08,0.00899468302876,2.541e-07,0.0447683388065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000255765322394928,1.44953452391043e-06,3.41264e-06,1.55694769330926e-05,0.00021425623552,0.00120421796903569,0.98814107831182,NA,NA
"34","dry   Dichlobenil","B",58.5,118,49,69,1.8095e-07,0.01243430285422,8.2034902272e-08,0.001666726848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000436758686853473,3.90746338150032e-07,1.09737254291184e-06,2.6405203624e-05,0.0003272646680878,0.00192144946173375,0.988659410187926,NA,NA
"35","dry   Diesel Fuel","A",43.8,16,9,7,0.0029661281664,0.086749536208,0.000329,0.008265,0.0144513103609525,0.00601287624593357,0.00266628947542629,0.0262363312464787,NA,0.00373455550399998,0.00863464182399999,0.055274761738,0.0240515049837343,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.982521064606152,NA,NA
"36","dry   Diesel Range Organics","A",11.9,59,52,7,0.01486632,5.298356448,0.002318,0.09291190734,0.545625145542391,0.148784541595531,0.254012802558849,0.837237488525934,0.0294574007039987,0.0854034687999983,0.423044213791998,1.569062205,1.14283574902509,0.00131812427536893,15.6810795019291,3,NA,NA,NA,NA,NA,NA,0.992628373540786,NA,NA
"37","dry   Diethyl phthalate","B",69.6,125,38,87,6.28e-07,0.0046154684992,2.653567328e-06,0.0575159335853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000169260104458424,4.44178352410395e-06,7.9982901001354e-06,1.46292e-05,0.00019755627374784,0.000678100035015039,0.986378467799472,NA,NA
"38","dry   Dimethyl phthalate","C",85.6,125,18,107,6.2e-07,0.005494591872,7.2e-08,0.0611581035221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","dry   Ethylbenzene","C",100,24,0,24,NA,NA,9.91088e-06,0.0023219776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","dry   Fluoranthene","B",51.2,125,61,64,4.4652e-07,0.0018717121632,2e-08,0.002338463641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000111223481155775,1.24355802960565e-06,4.1424337478822e-06,4.7378367204e-05,0.000250165349349,0.000310916191365645,0.985741121342636,NA,NA
"41","dry   Fluorene","C",92,125,10,115,3.800397728e-06,0.00017839584,2e-08,0.002338463641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","dry   Gasoline Range Organics","C",96.6,58,2,56,0.00096512715776,0.00720379392,0.000991088,1.39778804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
