"","parameter","method","x.NAs","x.count","x.quant.0%","x.quant.25%","x.quant.50%","x.quant.75%","x.quant.100%"
"106","Malathion","COMP-CT-CV",0.000000e+00,3.200000e+01,2.114925e-06,6.615229e-06,1.202643e-05,2.075522e-05,4.567783e-05
"107","Mecoprop","COMP-CT-CV",0.000000e+00,2.300000e+01,1.507416e-05,5.188278e-05,3.057538e-04,7.930261e-04,1.691193e-03
"108","Mercury","COMP-CT-CV",0.000000e+00,3.300000e+01,6.340530e-06,1.900199e-05,3.166668e-05,5.252766e-05,1.202048e-04
"109","Mercury dissolved","COMP-CT-CV",0.000000e+00,3.300000e+01,6.340530e-06,1.900199e-05,3.161712e-05,5.171497e-05,1.202048e-04
"110","Naphthalene","COMP-CT-CV",0.000000e+00,3.100000e+01,2.446031e-06,4.777189e-06,1.113700e-05,1.662450e-05,7.212289e-05
"111","Nitrite-Nitrate","COMP-CT-CV",0.000000e+00,2.000000e+01,2.568332e-02,9.659365e-02,1.459476e-01,1.947904e-01,1.405006e+00
"112","Ortho-phosphate dissolved","COMP-CT-CV",0.000000e+00,2.200000e+01,3.017047e-03,6.587394e-03,1.385498e-02,2.734019e-02,4.814252e-02
"113","Pentachlorophenol","COMP-CT-CV",0.000000e+00,2.300000e+01,1.570225e-05,8.522066e-05,2.716714e-04,7.829878e-04,1.669785e-03
"114","Phenanthrene","COMP-CT-CV",0.000000e+00,3.200000e+01,3.057538e-06,6.226057e-06,1.581741e-05,2.517689e-05,1.226089e-04
"115","Prometon","COMP-CT-CV",0.000000e+00,3.000000e+01,7.220756e-06,2.700097e-05,6.156780e-05,1.067344e-04,2.981079e-03
"116","Pyrene","COMP-CT-CV",0.000000e+00,3.200000e+01,3.176465e-06,7.002377e-06,1.566551e-05,3.175623e-05,1.490540e-04
"117","Surfactants","COMP-CT-CV",0.000000e+00,2.400000e+01,1.681646e-02,5.230688e-02,7.145988e-02,1.013480e-01,1.971359e-01
"118","Total Kjeldahl Nitrogen","COMP-CT-CV",0.000000e+00,2.100000e+01,1.117955e-02,4.370188e-01,6.052404e-01,1.046589e+00,3.053202e+00
"119","Total Phosphorus","COMP-CT-CV",0.000000e+00,1.900000e+01,2.935237e-02,7.628532e-02,1.143489e-01,2.257370e-01,4.375455e-01
"120","Total Suspended Solids","COMP-CT-CV",0.000000e+00,3.000000e+01,3.054816e+00,1.163191e+01,2.438092e+01,6.073693e+01,1.269363e+02
"121","Triclopyr","COMP-CT-CV",0.000000e+00,2.300000e+01,2.449551e-05,7.926730e-05,3.669046e-04,1.003831e-03,2.140750e-03
"122","Zinc","COMP-CT-CV",0.000000e+00,3.200000e+01,1.420279e-02,3.698636e-02,6.948986e-02,1.160554e-01,2.569418e-01
"123","Zinc dissolved","COMP-CT-CV",0.000000e+00,3.200000e+01,4.590544e-03,1.920792e-02,2.979680e-02,5.415139e-02,1.226933e-01
"124","1-Methylnaphthalene","COMP-CT-VPFVI",4.000000e+00,3.200000e+01,2.150000e-07,5.582500e-07,9.575000e-07,1.359750e-06,8.265000e-06
"125","2-Methylnaphthalene","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,2.150000e-07,5.610000e-07,9.860000e-07,1.586000e-06,8.265000e-06
"126","2,4-D","COMP-CT-VPFVI",4.000000e+00,3.200000e+01,2.107000e-07,4.794000e-07,8.128000e-07,1.374400e-06,6.612000e-06
"127","Acenaphthene","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,2.150000e-07,5.610000e-07,9.860000e-07,1.586000e-06,8.265000e-06
"128","Acenaphthylene","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,2.150000e-07,5.610000e-07,9.860000e-07,1.586000e-06,8.265000e-06
"129","Anthracene","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,2.150000e-07,5.610000e-07,9.860000e-07,1.586000e-06,8.265000e-06
"130","Benz(a)anthracene","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,2.150000e-07,5.610000e-07,9.860000e-07,1.698000e-06,8.265000e-06
"131","Benzo(a)pyrene","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,2.150000e-07,5.610000e-07,9.860000e-07,1.586000e-06,8.265000e-06
"132","Benzo(b)fluoranthene","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,2.150000e-07,5.610000e-07,9.860000e-07,1.586000e-06,8.265000e-06
"133","Benzo(g,h,i)perylene","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,2.150000e-07,5.610000e-07,9.860000e-07,1.586000e-06,8.265000e-06
"134","Benzo(k)fluoranthene","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,2.150000e-07,5.610000e-07,9.860000e-07,1.586000e-06,8.265000e-06
"135","Bis(2-ethylhexyl) phthalate","COMP-CT-VPFVI",3.000000e+00,2.200000e+01,5.790000e-06,1.426950e-05,2.192190e-05,4.245250e-05,3.800520e-04
"136","Butyl benzyl phthalate","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,2.150000e-06,5.610000e-06,9.860000e-06,1.586000e-05,8.265000e-05
"137","Cadmium","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,2.322000e-07,9.860000e-07,2.068900e-06,2.035000e-05,9.465300e-05
"138","Cadmium dissolved","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,1.440500e-07,2.976000e-07,6.792000e-07,9.708000e-07,1.528400e-05
"139","Chloride","COMP-CT-VPFVI",1.000000e+00,2.000000e+00,4.165560e+01,4.165560e+01,4.165560e+01,4.165560e+01,4.165560e+01
"140","Chlorpyrifos","COMP-CT-VPFVI",4.000000e+00,3.200000e+01,5.160000e-08,1.378800e-07,2.615700e-07,1.844925e-06,2.479500e-05
"141","Chrysene","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,2.150000e-07,5.610000e-07,9.860000e-07,1.698000e-06,8.265000e-06
"142","Copper","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,6.170500e-06,3.657500e-05,5.868200e-05,9.375000e-05,6.859950e-04
"143","Copper dissolved","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,4.429000e-06,1.746100e-05,3.118500e-05,4.758000e-05,5.289600e-04
"144","Di-N-Octyl Phthalate","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,2.150000e-06,5.610000e-06,9.860000e-06,1.586000e-05,8.265000e-05
"145","Diazinon","COMP-CT-VPFVI",4.000000e+00,3.200000e+01,5.160000e-08,1.378800e-07,2.615700e-07,1.752375e-06,9.918000e-06
"146","Dibenzo(a,h)anthracene","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,2.150000e-07,5.610000e-07,9.860000e-07,1.586000e-06,8.265000e-06
"147","Dibutyl phthalate","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,2.150000e-06,5.610000e-06,9.860000e-06,1.586000e-05,8.265000e-05
"148","Dichlobenil","COMP-CT-VPFVI",4.000000e+00,3.200000e+01,5.160000e-08,1.755875e-07,2.652300e-07,1.752375e-06,9.918000e-06
"149","Diethyl phthalate","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,2.150000e-06,5.610000e-06,9.860000e-06,1.586000e-05,8.265000e-05
"150","Dimethyl phthalate","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,2.150000e-06,5.610000e-06,9.860000e-06,1.586000e-05,8.265000e-05
"151","Fluoranthene","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,2.150000e-07,5.610000e-07,9.860000e-07,1.698000e-06,8.265000e-06
"152","Fluorene","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,2.150000e-07,5.610000e-07,9.860000e-07,1.586000e-06,8.265000e-06
"153","Hardness as CaCO3","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,1.480500e-02,5.068800e-02,9.219200e-02,4.074070e-01,3.935630e+01
"154","Indeno(1,2,3-cd)pyrene","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,2.150000e-07,5.610000e-07,9.860000e-07,1.586000e-06,8.265000e-06
"155","Lead","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,1.324400e-05,4.932840e-05,1.299140e-04,2.276250e-04,2.346960e-03
"156","Lead dissolved","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,7.718500e-07,4.216000e-06,7.207200e-06,1.338700e-05,1.057920e-04
