"","ParamList.i.","case.code","pctCensor","nSamples","num.Detects","num.nonDetects","min.Detects","max.Detects","min.nonDetects","max.nonDetects","KM.mean","KM.mean.SE","KM.mean.95LCL","KM.mean.95UCL","KM.median","KM.SD","PetoPrentice.pvalue","PetoPrentice.chisq","PetoPrentice.df","ROS_correlation","PPCC_test","MLE.mean","MLE.mean.SE","MLE.mean.95LCL","MLE.mean.95UCL","MLE.median","MLE.SD"
"78","Total Kjeldahl Nitrogen water  (ug/L)","A",9.9,567,511,56,0.000924,129.580735052,0.001075,10.9214358,4.50478536427482,0.63471972597978,3.26075756107732,5.74881316747232,0.26656767248403,15.1137949245261,3.98389798927923e-09,42.0144500835447,3,0.997530230025693,NA,NA,NA,NA,NA,NA,NA
"79","Total PAH water  (ug/L)","A",26.8,619,453,166,5.0274e-07,0.03928323969024,2.15e-07,0.004676927282,0.00114788640699278,0.000146668294604404,0.000860421831894237,0.00143535098209132,7.35677578551919e-05,0.00364906472530972,2.6315927215137e-10,47.5678919236117,3,0.992354605342998,NA,NA,NA,NA,NA,NA,NA
"80","Total PCB water  (ug/L)","A",44.4,27,15,12,2.2035680689e-06,0.00083400904704,2.477153664e-07,3.853633312e-05,7.86259290635623e-05,3.47829133204241e-05,1.04526716781525e-05,0.000146799186448972,4.04994235940026e-06,0.000180737319318717,8.90344631354623e-09,37.073654812787,2,0.975794327656888,NA,NA,NA,NA,NA,NA,NA
"81","Total Phosphorus water  (ug/L)","A",3,566,549,17,4.3e-05,19.7128139494,4.96e-05,1.9332571146,0.623162585929647,0.0868066335644207,0.453024710524217,0.793300461335078,0.0414297154329972,2.06519530868773,1.98785432559134e-12,57.5223863008404,3,0.996755307481542,NA,NA,NA,NA,NA,NA,NA
"82","Total Phthalate water  (ug/L)","A",22.8,619,478,141,3.542e-07,0.27893270153088,2.15e-06,0.105661024365,0.00573700420187839,0.000763521990245089,0.00424052859959367,0.00723347980416311,0.000380051999999909,0.018996206161096,3.62425710553893e-08,37.4899125445973,3,0.993940985003959,NA,NA,NA,NA,NA,NA,NA
"83","Total Suspended Solids water  (ug/L)","A",0.2,586,585,1,0.01376,11979.89229888,0.182,0.182,278.038866299894,45.877152230877,188.121300214113,367.956432385674,13.5529188557011,1110.5682665796,1.83234796224951e-08,38.8888678409183,3,0.997325232526133,NA,NA,NA,NA,NA,NA,NA
"84","Total TPHDx water  (ug/L)","A",20.4,401,319,82,0.0018507,60.8070290928,0.000215,29.238228672,1.7073010913892,0.270500810691761,1.17712924464447,2.23747293813394,0.143262053567994,5.41677451280233,6.6885768035263e-09,40.9537510151464,3,0.991176401766227,NA,NA,NA,NA,NA,NA,NA
"85","Total Xylenes water  (ug/L)","C",98.9,88,1,87,0.00080732329472,0.00080732329472,9.91088e-06,0.00871591104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","TPHGx water  (ug/L)","C",100,21,0,21,NA,NA,0.0001075,0.008265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Triclopyr water  (ug/L)","C",88.6,536,61,475,1.558273504e-06,0.00575197322973,2.107e-07,0.1625554221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Zinc water  (ug/L)","A",0.8,612,607,5,2.574e-05,7.9264811335,6.796032e-05,0.0017580077785,0.315687782285842,0.0369278385830464,0.243310548636162,0.388065015935521,0.0248073548407017,0.913544274021957,1.18015428632165e-16,77.2725869041218,3,0.996545684353699,NA,NA,NA,NA,NA,NA,NA
"89","Zinc water dissolved (ug/L)","A",2.5,594,579,15,6.65525814321e-06,3.51119711736,6.796032e-05,0.81610994682,0.11247666792506,0.0135815145105483,0.0858573886288771,0.139095947221243,0.00891856627747867,0.331010236430445,4.62688625489325e-15,69.8364044227569,3,0.994890323256033,NA,NA,NA,NA,NA,NA,NA
